Legs,Joint Prob,Payout,Picks
2,0.6664680000000001,3.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
2,0.644193,3.0x,Dorian Finney-Smith Under 2.5 AST | Jayson Tatum Over 1.5 AST
2,0.640629,3.0x,Jayson Tatum Over 1.5 AST | Naz Reid Under 3.5 AST
2,0.636174,3.0x,Davion Mitchell Under 14.5 PA | Jayson Tatum Over 1.5 AST
2,0.636174,3.0x,Jayson Tatum Over 1.5 AST | Royce O'Neale Under 8.5 PTS
2,0.633501,3.0x,Davion Mitchell Under 8.0 PTS | Jayson Tatum Over 1.5 AST
2,0.63261,3.0x,Aaron Nesmith Under 13.5 PR | Jayson Tatum Over 1.5 AST
2,0.629937,3.0x,Jayson Tatum Over 1.5 AST | Luke Kennard Under 14.5 PTS
2,0.628155,3.0x,Andrew Nembhard Under 14.5 PTS | Jayson Tatum Over 1.5 AST
2,0.6272639999999999,3.0x,Jayson Tatum Over 1.5 AST | Jordan Miller Under 9.5 PTS
3,0.4930794,6.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Luke Kennard Under 14.5 PTS
3,0.48808979999999996,6.0x,Austin Reaves Under 24.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
3,0.481856364,6.0x,Dorian Finney-Smith Under 2.5 AST | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
3,0.48096179999999994,6.0x,Austin Reaves Under 29.5 PA | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
3,0.479190492,6.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Naz Reid Under 3.5 AST
3,0.47585815200000003,6.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Royce O'Neale Under 8.5 PTS
3,0.475858152,6.0x,Davion Mitchell Under 14.5 PA | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
3,0.4745312,6.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Sam Hauser Under 9.5 PTS
3,0.473858748,6.0x,Davion Mitchell Under 8.0 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
3,0.4715172,6.0x,Devin Booker Under 5.5 AST | Jayson Tatum Over 1.5 AST | Royce O'Neale Under 8.5 PTS
4,0.36825030000000003,10.0x,Aaron Nesmith Under 13.5 PR | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Luke Kennard Under 14.5 PTS
4,0.3668247,10.0x,Andrew Nembhard Under 14.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Luke Kennard Under 14.5 PTS
4,0.3666465,10.0x,Andrew Nembhard Under 21.5 PA | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST | Luke Kennard Under 14.5 PTS
4,0.3582711,10.0x,Aaron Nesmith Under 13.5 PR | Austin Reaves Under 24.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST
